K	N
0	0
1	0
2	0
3	3
4	110
5	139
6	162
7	185
8	250
9	362
10	532
11	901
12	904
13	921
14	1139
15	872
16	873
17	778
18	723
19	710
20	437
21	174
22	91
23	70
24	90
25	112
26	149
27	174
28	248
29	359
30	702
31	1416
32	2948
33	4730
34	5098
35	3569
36	1616
37	510
38	164
39	97
40	94
41	115
42	104
43	79
44	62
45	51
46	86
47	73
48	60
49	56
50	49
51	54
52	50
53	49
54	48
55	38
56	31
57	50
58	30
59	34
60	29
61	48
62	41
63	40
64	39
65	37
66	36
67	27
68	32
69	37
70	40
71	22
72	31
73	32
74	27
75	33
76	31
77	31
78	26
79	34
80	19
81	21
82	32
83	27
84	21
85	22
86	25
87	19
88	21
89	20
90	29
91	13
92	23
93	25
94	16
95	22
96	21
97	22
98	20
99	21
100	18
101	21
102	22
103	26
104	18
105	19
106	24
107	23
108	15
109	22
110	18
111	17
112	25
113	20
114	19
115	19
116	21
117	17
118	18
119	17
120	21
121	19
122	21
123	11
124	12
125	9
126	19
127	16
128	14
129	17
130	12
131	8
132	12
133	17
134	16
135	14
136	6
137	18
138	19
139	12
140	11
141	14
142	15
143	10
144	12
145	18
146	14
147	11
148	15
149	11
150	16
151	14
152	10
153	4
154	4
155	6
156	10
157	16
158	9
159	12
160	12
161	4
162	14
163	14
164	9
165	8
166	12
167	8
168	9
169	5
170	13
171	13
172	11
173	9
174	6
175	16
176	10
177	10
178	5
179	8
180	9
181	9
182	14
183	6
184	11
185	4
186	7
187	8
188	11
189	7
190	8
191	7
192	11
193	12
194	3
195	9
196	10
197	2
198	6
199	10
200	11
201	8
202	6
203	10
204	10
205	9
206	8
207	6
208	10
209	2
210	7
211	3
212	9
213	5
214	9
215	6
216	5
217	7
218	2
219	8
220	11
221	5
222	5
223	6
224	11
225	6
226	7
227	10
228	4
229	6
230	5
231	9
232	10
233	6
234	9
235	5
236	6
237	5
238	8
239	9
240	14
241	7
242	8
243	4
244	5
245	8
246	12
247	5
248	11
249	5
250	4
251	8
252	4
253	5
254	6
255	5
256	5
257	10
258	8
259	6
260	7
261	7
262	7
263	9
264	10
265	8
266	5
267	4
268	8
269	5
270	1
271	9
272	8
273	10
274	6
275	6
276	6
277	5
278	2
279	6
280	4
281	6
282	7
283	5
284	4
285	3
286	1
287	5
288	2
289	3
290	3
291	5
292	5
293	5
294	3
295	3
296	5
297	8
298	7
299	5
300	3
301	2
302	5
303	5
304	4
305	6
306	3
307	5
308	4
309	2
310	7
311	2
312	6
313	4
314	9
315	5
316	5
317	1
318	5
319	3
320	0
321	4
322	3
323	1
324	5
325	6
326	5
327	3
328	3
329	2
330	4
331	6
332	2
333	6
334	2
335	6
336	6
337	3
338	5
339	2
340	3
341	3
342	3
343	3
344	3
345	5
346	6
347	1
348	5
349	5
350	7
351	7
352	5
353	2
354	2
355	5
356	4
357	4
358	2
359	1
360	5
361	3
362	4
363	3
364	5
365	2
366	5
367	5
368	6
369	3
370	4
371	1
372	4
373	2
374	7
375	4
376	3
377	2
378	5
379	4
380	1
381	1
382	6
383	2
384	4
385	3
386	2
387	7
388	2
389	1
390	2
391	4
392	5
393	6
394	7
395	6
396	6
397	6
398	4
399	2
400	2
401	5
402	8
403	2
404	3
405	0
406	3
407	1
408	3
409	0
410	0
411	3
412	7
413	2
414	2
415	3
416	3
417	0
418	4
419	2
420	3
421	2
422	4
423	3
424	3
425	7
426	3
427	2
428	5
429	2
430	2
431	5
432	1
433	5
434	5
435	4
436	3
437	4
438	3
439	0
440	3
441	2
442	5
443	1
444	5
445	0
446	2
447	3
448	3
449	4
450	2
451	4
452	1
453	3
454	3
455	3
456	3
457	3
458	4
459	5
460	6
461	1
462	2
463	3
464	3
465	3
466	7
467	1
468	1
469	5
470	4
471	2
472	2
473	4
474	3
475	2
476	2
477	4
478	2
479	1
480	2
481	8
482	1
483	7
484	3
485	6
486	1
487	0
488	3
489	2
490	1
491	1
492	2
493	2
494	4
495	1
496	5
497	1
498	3
499	2
500	2
501	1
502	6
503	2
504	2
505	2
506	1
507	4
508	7
509	1
510	4
511	40
