K	N
0	0
1	0
2	0
3	13
4	216
5	231
6	251
7	305
8	310
9	318
10	324
11	317
12	373
13	394
14	420
15	405
16	444
17	447
18	415
19	449
20	449
21	455
22	428
23	412
24	455
25	492
26	475
27	495
28	448
29	478
30	530
31	528
32	671
33	769
34	837
35	695
36	634
37	599
38	782
39	875
40	1004
41	959
42	845
43	706
44	650
45	663
46	626
47	622
48	540
49	448
50	458
51	463
52	441
53	481
54	488
55	456
56	481
57	491
58	474
59	428
60	437
61	449
62	461
63	495
64	444
65	495
66	504
67	470
68	517
69	453
70	493
71	473
72	467
73	475
74	452
75	473
76	482
77	493
78	533
79	466
80	514
81	484
82	494
83	515
84	493
85	521
86	539
87	525
88	606
89	604
90	672
91	707
92	699
93	707
94	625
95	716
96	702
97	665
98	680
99	669
100	629
101	615
102	576
103	585
104	613
105	600
106	573
107	612
108	577
109	487
110	574
111	553
112	549
113	522
114	516
115	539
116	525
117	555
118	537
119	543
120	531
121	514
122	512
123	527
124	523
125	513
126	522
127	466
128	505
129	529
130	506
131	481
132	479
133	514
134	508
135	476
136	524
137	517
138	463
139	495
140	457
141	474
142	471
143	499
144	487
145	506
146	467
147	495
148	455
149	490
150	512
151	487
152	463
153	460
154	504
155	477
156	498
157	460
158	495
159	482
160	482
161	493
162	517
163	489
164	514
165	477
166	484
167	486
168	494
169	499
170	477
171	537
172	554
173	484
174	544
175	525
176	517
177	501
178	482
179	506
180	482
181	488
182	494
183	525
184	542
185	489
186	560
187	543
188	496
189	532
190	514
191	519
192	535
193	531
194	583
195	497
196	492
197	558
198	534
199	532
200	533
201	570
202	509
203	523
204	509
205	513
206	495
207	465
208	473
209	466
210	467
211	425
212	454
213	418
214	381
215	348
216	313
217	335
218	287
219	288
220	281
221	277
222	267
223	271
224	245
225	248
226	233
227	185
228	188
229	208
230	206
231	215
232	220
233	185
234	205
235	199
236	196
237	197
238	178
239	191
240	182
241	186
242	148
243	152
244	169
245	156
246	181
247	166
248	178
249	130
250	157
251	143
252	122
253	141
254	178
255	147
256	157
257	106
258	137
259	144
260	138
261	139
262	135
263	134
264	135
265	131
266	112
267	131
268	130
269	118
270	134
271	128
272	124
273	122
274	122
275	130
276	126
277	160
278	191
279	169
280	233
281	264
282	326
283	360
284	410
285	528
286	635
287	701
288	940
289	1106
290	1265
291	1434
292	1512
293	1706
294	1962
295	2083
296	2232
297	2435
298	2428
299	2525
300	2519
301	2629
302	2569
303	2427
304	2271
305	2120
306	1911
307	1822
308	1599
309	1391
310	1159
311	1061
312	892
313	710
314	578
315	441
316	350
317	262
318	220
319	158
320	114
321	72
322	48
323	41
324	26
325	23
326	19
327	14
328	8
329	6
330	2
331	7
332	4
333	3
334	11
335	7
336	2
337	2
338	2
339	2
340	3
341	6
342	4
343	8
344	6
345	4
346	0
347	3
348	2
349	5
350	7
351	2
352	3
353	3
354	4
355	3
356	4
357	6
358	7
359	6
360	7
361	1
362	8
363	8
364	3
365	6
366	5
367	6
368	5
369	4
370	7
371	3
372	3
373	5
374	1
375	2
376	4
377	2
378	3
379	6
380	2
381	2
382	8
383	8
384	2
385	2
386	3
387	2
388	2
389	8
390	8
391	3
392	3
393	3
394	3
395	4
396	5
397	5
398	3
399	4
400	5
401	1
402	0
403	1
404	7
405	4
406	2
407	3
408	2
409	7
410	4
411	2
412	5
413	3
414	5
415	6
416	3
417	3
418	4
419	2
420	3
421	4
422	2
423	5
424	2
425	7
426	1
427	6
428	1
429	7
430	4
431	1
432	1
433	3
434	2
435	6
436	0
437	3
438	6
439	1
440	1
441	4
442	3
443	5
444	6
445	5
446	3
447	3
448	3
449	4
450	6
451	4
452	1
453	6
454	4
455	4
456	6
457	2
458	4
459	2
460	1
461	1
462	4
463	0
464	4
465	1
466	3
467	2
468	7
469	1
470	2
471	4
472	1
473	1
474	3
475	1
476	3
477	2
478	1
479	3
480	4
481	2
482	2
483	5
484	7
485	2
486	7
487	3
488	4
489	2
490	3
491	4
492	6
493	2
494	1
495	3
496	2
497	2
498	1
499	0
500	2
501	4
502	3
503	3
504	4
505	4
506	3
507	1
508	4
509	5
510	4
511	29
