K	N
0	0
1	0
2	0
3	1
4	13
5	14
6	13
7	14
8	14
9	16
10	18
11	13
12	20
13	15
14	27
15	26
16	25
17	35
18	23
19	23
20	32
21	29
22	22
23	24
24	32
25	23
26	25
27	30
28	42
29	39
30	43
31	30
32	44
33	35
34	33
35	56
36	50
37	66
38	65
39	84
40	109
41	116
42	90
43	87
44	82
45	87
46	68
47	64
48	54
49	47
50	48
51	48
52	35
53	39
54	45
55	64
56	44
57	41
58	31
59	36
60	37
61	39
62	52
63	47
64	39
65	34
66	39
67	37
68	34
69	33
70	32
71	39
72	40
73	17
74	23
75	30
76	37
77	31
78	38
79	46
80	42
81	32
82	18
83	37
84	37
85	33
86	23
87	34
88	25
89	27
90	18
91	26
92	26
93	31
94	35
95	32
96	14
97	34
98	27
99	27
100	25
101	36
102	20
103	23
104	32
105	29
106	20
107	29
108	16
109	29
110	24
111	25
112	18
113	28
114	18
115	22
116	24
117	20
118	17
119	23
120	19
121	19
122	11
123	16
124	15
125	13
126	24
127	22
128	21
129	17
130	23
131	14
132	24
133	18
134	19
135	18
136	14
137	17
138	20
139	18
140	25
141	19
142	23
143	17
144	28
145	24
146	17
147	17
148	15
149	14
150	14
151	9
152	14
153	14
154	12
155	16
156	16
157	7
158	19
159	9
160	10
161	14
162	14
163	11
164	20
165	5
166	12
167	12
168	8
169	13
170	14
171	9
172	11
173	9
174	11
175	25
176	14
177	10
178	9
179	6
180	13
181	8
182	8
183	8
184	22
185	11
186	3
187	11
188	7
189	6
190	17
191	10
192	10
193	9
194	17
195	8
196	10
197	9
198	11
199	12
200	9
201	5
202	7
203	11
204	8
205	6
206	5
207	12
208	18
209	18
210	7
211	10
212	16
213	9
214	12
215	12
216	5
217	11
218	13
219	10
220	17
221	12
222	12
223	9
224	19
225	15
226	15
227	25
228	25
229	32
230	27
231	31
232	35
233	38
234	31
235	44
236	35
237	36
238	39
239	31
240	34
241	27
242	31
243	33
244	27
245	24
246	16
247	18
248	12
249	10
250	15
251	10
252	8
253	7
254	5
255	6
256	12
257	11
258	5
259	3
260	7
261	4
262	7
263	4
264	8
265	10
266	11
267	6
268	4
269	9
270	10
271	10
272	11
273	11
274	5
275	9
276	10
277	10
278	8
279	5
280	10
281	6
282	11
283	4
284	7
285	11
286	6
287	4
288	7
289	6
290	5
291	10
292	5
293	5
294	3
295	5
296	6
297	5
298	10
299	5
300	8
301	6
302	8
303	9
304	6
305	10
306	11
307	10
308	2
309	6
310	3
311	7
312	9
313	4
314	5
315	9
316	3
317	6
318	2
319	5
320	4
321	7
322	6
323	3
324	4
325	5
326	9
327	4
328	2
329	5
330	4
331	7
332	1
333	6
334	5
335	4
336	4
337	2
338	6
339	6
340	4
341	2
342	6
343	5
344	6
345	7
346	8
347	6
348	1
349	10
350	1
351	2
352	5
353	8
354	5
355	1
356	5
357	4
358	4
359	4
360	3
361	6
362	4
363	8
364	3
365	8
366	6
367	2
368	2
369	4
370	4
371	3
372	2
373	4
374	4
375	1
376	5
377	2
378	4
379	11
380	3
381	4
382	8
383	4
384	6
385	6
386	3
387	6
388	3
389	3
390	4
391	2
392	6
393	3
394	7
395	5
396	4
397	5
398	1
399	0
400	4
401	2
402	3
403	3
404	4
405	1
406	4
407	3
408	5
409	2
410	3
411	6
412	10
413	1
414	7
415	3
416	3
417	2
418	5
419	7
420	5
421	5
422	5
423	5
424	6
425	3
426	4
427	2
428	6
429	2
430	3
431	4
432	3
433	6
434	9
435	2
436	3
437	7
438	1
439	4
440	1
441	6
442	3
443	4
444	4
445	8
446	3
447	2
448	3
449	3
450	1
451	6
452	4
453	2
454	3
455	2
456	1
457	1
458	4
459	3
460	1
461	3
462	4
463	3
464	2
465	6
466	6
467	5
468	2
469	4
470	1
471	4
472	2
473	3
474	3
475	5
476	4
477	0
478	3
479	4
480	3
481	1
482	4
483	1
484	4
485	3
486	2
487	6
488	3
489	1
490	4
491	0
492	2
493	1
494	2
495	5
496	7
497	0
498	1
499	3
500	1
501	1
502	3
503	4
504	2
505	1
506	3
507	7
508	2
509	1
510	0
511	40
