K	N
0	0
1	0
2	0
3	0
4	10
5	16
6	11
7	15
8	17
9	21
10	16
11	15
12	22
13	12
14	29
15	19
16	25
17	24
18	16
19	30
20	25
21	29
22	27
23	22
24	26
25	33
26	35
27	24
28	29
29	32
30	29
31	41
32	36
33	48
34	31
35	40
36	43
37	66
38	54
39	108
40	103
41	115
42	109
43	92
44	66
45	78
46	77
47	60
48	54
49	55
50	40
51	54
52	44
53	46
54	39
55	33
56	51
57	52
58	36
59	38
60	52
61	31
62	34
63	28
64	36
65	40
66	32
67	35
68	26
69	31
70	30
71	36
72	37
73	41
74	29
75	33
76	42
77	28
78	27
79	29
80	34
81	32
82	27
83	35
84	30
85	32
86	31
87	27
88	30
89	24
90	17
91	19
92	29
93	27
94	24
95	23
96	21
97	19
98	21
99	20
100	26
101	15
102	23
103	19
104	19
105	16
106	34
107	25
108	18
109	25
110	25
111	13
112	18
113	16
114	10
115	16
116	14
117	15
118	21
119	20
120	14
121	16
122	22
123	12
124	12
125	19
126	14
127	20
128	19
129	21
130	21
131	7
132	15
133	12
134	10
135	16
136	12
137	17
138	10
139	13
140	10
141	13
142	14
143	15
144	13
145	11
146	9
147	18
148	15
149	12
150	13
151	17
152	8
153	9
154	12
155	9
156	6
157	6
158	17
159	15
160	7
161	13
162	11
163	5
164	7
165	5
166	13
167	13
168	7
169	9
170	15
171	16
172	12
173	10
174	13
175	11
176	8
177	9
178	10
179	5
180	10
181	8
182	4
183	5
184	12
185	12
186	12
187	7
188	12
189	7
190	11
191	11
192	13
193	5
194	10
195	5
196	4
197	10
198	9
199	5
200	10
201	7
202	6
203	13
204	5
205	6
206	8
207	3
208	6
209	7
210	5
211	4
212	15
213	11
214	7
215	7
216	12
217	5
218	7
219	15
220	3
221	6
222	6
223	4
224	14
225	3
226	5
227	11
228	8
229	9
230	10
231	6
232	3
233	6
234	8
235	8
236	11
237	5
238	10
239	6
240	11
241	10
242	9
243	12
244	7
245	12
246	6
247	6
248	3
249	5
250	12
251	4
252	6
253	2
254	2
255	8
256	6
257	6
258	6
259	4
260	4
261	1
262	0
263	7
264	6
265	4
266	4
267	3
268	5
269	6
270	4
271	0
272	4
273	0
274	6
275	5
276	5
277	7
278	4
279	8
280	5
281	8
282	3
283	7
284	8
285	10
286	5
287	5
288	6
289	6
290	4
291	5
292	7
293	9
294	5
295	0
296	6
297	4
298	5
299	7
300	11
301	4
302	4
303	4
304	5
305	4
306	6
307	7
308	5
309	4
310	4
311	7
312	2
313	3
314	6
315	4
316	2
317	5
318	3
319	3
320	5
321	4
322	6
323	5
324	2
325	5
326	6
327	4
328	5
329	6
330	5
331	2
332	1
333	3
334	5
335	0
336	6
337	3
338	0
339	5
340	4
341	5
342	3
343	4
344	4
345	4
346	7
347	2
348	2
349	1
350	4
351	4
352	2
353	6
354	5
355	1
356	5
357	10
358	4
359	3
360	1
361	5
362	4
363	1
364	4
365	4
366	5
367	5
368	2
369	6
370	3
371	5
372	2
373	2
374	5
375	2
376	3
377	6
378	4
379	5
380	2
381	0
382	2
383	4
384	3
385	6
386	2
387	3
388	1
389	1
390	0
391	4
392	5
393	3
394	4
395	4
396	4
397	2
398	3
399	2
400	2
401	2
402	6
403	3
404	1
405	4
406	6
407	4
408	2
409	4
410	0
411	4
412	3
413	4
414	4
415	5
416	0
417	3
418	1
419	4
420	1
421	1
422	1
423	5
424	2
425	2
426	3
427	3
428	4
429	3
430	5
431	1
432	2
433	1
434	3
435	2
436	5
437	2
438	1
439	0
440	4
441	2
442	3
443	3
444	1
445	2
446	3
447	1
448	3
449	1
450	3
451	1
452	5
453	4
454	4
455	0
456	5
457	3
458	4
459	3
460	2
461	4
462	1
463	2
464	0
465	0
466	1
467	0
468	4
469	3
470	2
471	7
472	3
473	3
474	2
475	5
476	1
477	1
478	1
479	2
480	2
481	6
482	3
483	2
484	5
485	1
486	1
487	0
488	4
489	3
490	1
491	2
492	3
493	1
494	2
495	2
496	3
497	6
498	2
499	4
500	1
501	6
502	0
503	4
504	1
505	0
506	1
507	0
508	2
509	1
510	2
511	39
