K	N
0	0
1	0
2	0
3	10
4	138
5	152
6	151
7	184
8	188
9	214
10	205
11	218
12	241
13	236
14	248
15	212
16	260
17	304
18	270
19	285
20	342
21	312
22	298
23	280
24	316
25	311
26	317
27	321
28	299
29	304
30	317
31	325
32	326
33	340
34	343
35	328
36	365
37	359
38	357
39	356
40	363
41	340
42	369
43	342
44	378
45	442
46	476
47	541
48	515
49	518
50	424
51	417
52	351
53	417
54	506
55	520
56	575
57	664
58	664
59	581
60	564
61	494
62	417
63	426
64	449
65	466
66	395
67	402
68	340
69	353
70	306
71	318
72	332
73	324
74	324
75	321
76	289
77	305
78	305
79	338
80	342
81	321
82	332
83	325
84	304
85	301
86	343
87	346
88	305
89	319
90	339
91	320
92	328
93	313
94	332
95	327
96	324
97	290
98	347
99	333
100	330
101	318
102	344
103	338
104	338
105	323
106	342
107	312
108	359
109	341
110	329
111	356
112	350
113	353
114	325
115	332
116	353
117	373
118	363
119	347
120	374
121	334
122	389
123	342
124	344
125	382
126	396
127	418
128	433
129	420
130	431
131	458
132	432
133	466
134	483
135	452
136	499
137	504
138	500
139	484
140	444
141	470
142	502
143	488
144	506
145	431
146	416
147	434
148	448
149	420
150	436
151	423
152	413
153	386
154	431
155	403
156	402
157	424
158	360
159	384
160	432
161	376
162	352
163	400
164	382
165	356
166	366
167	389
168	361
169	386
170	365
171	385
172	364
173	383
174	348
175	360
176	342
177	406
178	363
179	361
180	354
181	390
182	345
183	381
184	373
185	376
186	327
187	370
188	359
189	353
190	316
191	372
192	320
193	322
194	330
195	320
196	309
197	371
198	355
199	340
200	356
201	337
202	347
203	353
204	370
205	338
206	332
207	326
208	322
209	317
210	336
211	361
212	379
213	332
214	355
215	301
216	371
217	338
218	369
219	333
220	369
221	323
222	338
223	334
224	332
225	340
226	327
227	345
228	314
229	319
230	374
231	350
232	364
233	332
234	345
235	328
236	336
237	349
238	331
239	343
240	332
241	354
242	342
243	358
244	349
245	355
246	327
247	332
248	328
249	356
250	369
251	349
252	321
253	341
254	347
255	327
256	356
257	335
258	371
259	345
260	328
261	368
262	359
263	378
264	348
265	362
266	370
267	363
268	351
269	380
270	358
271	378
272	362
273	373
274	357
275	380
276	376
277	326
278	390
279	379
280	385
281	375
282	378
283	384
284	356
285	375
286	375
287	356
288	388
289	376
290	350
291	367
292	368
293	358
294	381
295	380
296	348
297	361
298	356
299	321
300	322
301	327
302	336
303	340
304	320
305	310
306	310
307	280
308	265
309	241
310	271
311	284
312	256
313	217
314	237
315	226
316	183
317	223
318	213
319	216
320	183
321	173
322	197
323	188
324	175
325	150
326	164
327	152
328	176
329	157
330	152
331	132
332	137
333	152
334	136
335	129
336	143
337	156
338	122
339	140
340	142
341	131
342	126
343	133
344	127
345	148
346	131
347	119
348	108
349	98
350	136
351	128
352	116
353	120
354	116
355	119
356	118
357	90
358	134
359	100
360	103
361	119
362	108
363	100
364	104
365	100
366	108
367	109
368	104
369	90
370	100
371	95
372	88
373	92
374	89
375	93
376	90
377	89
378	93
379	88
380	70
381	97
382	93
383	94
384	91
385	101
386	83
387	85
388	91
389	76
390	93
391	76
392	90
393	104
394	99
395	108
396	103
397	89
398	111
399	130
400	142
401	146
402	173
403	150
404	205
405	233
406	265
407	314
408	330
409	362
410	430
411	540
412	510
413	577
414	672
415	813
416	869
417	1009
418	1025
419	1136
420	1220
421	1356
422	1375
423	1526
424	1569
425	1723
426	1707
427	1800
428	1758
429	1886
430	1856
431	1799
432	1931
433	1829
434	1635
435	1629
436	1526
437	1532
438	1466
439	1434
440	1316
441	1228
442	1035
443	984
444	901
445	775
446	718
447	627
448	518
449	490
450	403
451	330
452	307
453	221
454	186
455	162
456	128
457	115
458	88
459	71
460	46
461	42
462	30
463	20
464	23
465	10
466	12
467	5
468	8
469	4
470	3
471	3
472	10
473	8
474	10
475	4
476	2
477	6
478	2
479	3
480	2
481	7
482	7
483	6
484	4
485	2
486	3
487	6
488	5
489	3
490	6
491	5
492	2
493	4
494	5
495	6
496	2
497	5
498	1
499	3
500	2
501	4
502	4
503	2
504	4
505	6
506	2
507	1
508	3
509	4
510	1
511	66
