K	N
0	0
1	0
2	0
3	3
4	20
5	21
6	24
7	15
8	28
9	19
10	18
11	16
12	25
13	24
14	21
15	24
16	19
17	31
18	34
19	28
20	23
21	30
22	37
23	33
24	36
25	39
26	26
27	43
28	39
29	32
30	29
31	41
32	43
33	44
34	48
35	37
36	38
37	40
38	40
39	35
40	42
41	48
42	35
43	49
44	37
45	52
46	49
47	53
48	52
49	55
50	74
51	58
52	60
53	86
54	106
55	125
56	133
57	130
58	141
59	114
60	96
61	86
62	82
63	71
64	77
65	65
66	83
67	69
68	64
69	48
70	51
71	57
72	54
73	46
74	53
75	53
76	37
77	49
78	62
79	50
80	52
81	43
82	51
83	49
84	60
85	50
86	42
87	34
88	42
89	62
90	54
91	45
92	38
93	50
94	43
95	41
96	45
97	56
98	37
99	42
100	53
101	42
102	43
103	50
104	51
105	37
106	38
107	47
108	44
109	46
110	50
111	46
112	34
113	56
114	42
115	50
116	41
117	40
118	37
119	55
120	36
121	45
122	50
123	41
124	45
125	30
126	40
127	53
128	53
129	43
130	50
131	43
132	43
133	44
134	47
135	40
136	31
137	46
138	34
139	26
140	39
141	40
142	43
143	42
144	39
145	45
146	38
147	31
148	44
149	38
150	28
151	32
152	37
153	39
154	52
155	35
156	44
157	32
158	31
159	35
160	56
161	33
162	41
163	25
164	34
165	40
166	47
167	34
168	35
169	26
170	33
171	36
172	25
173	31
174	36
175	29
176	29
177	41
178	26
179	38
180	32
181	31
182	38
183	33
184	39
185	30
186	43
187	41
188	34
189	34
190	36
191	32
192	37
193	34
194	27
195	34
196	27
197	34
198	44
199	30
200	36
201	33
202	33
203	32
204	23
205	32
206	36
207	31
208	28
209	22
210	30
211	37
212	34
213	34
214	28
215	32
216	29
217	22
218	29
219	23
220	27
221	27
222	29
223	31
224	23
225	28
226	30
227	36
228	34
229	25
230	29
231	22
232	42
233	45
234	24
235	25
236	32
237	34
238	37
239	30
240	27
241	39
242	22
243	29
244	38
245	33
246	31
247	37
248	29
249	35
250	48
251	39
252	26
253	30
254	37
255	33
256	24
257	32
258	33
259	35
260	34
261	37
262	40
263	30
264	30
265	37
266	35
267	27
268	36
269	30
270	34
271	41
272	31
273	35
274	32
275	40
276	38
277	27
278	28
279	37
280	32
281	33
282	26
283	34
284	29
285	41
286	39
287	30
288	40
289	31
290	36
291	32
292	25
293	34
294	22
295	24
296	30
297	19
298	29
299	24
300	23
301	34
302	19
303	26
304	21
305	31
306	19
307	20
308	28
309	33
310	15
311	13
312	20
313	19
314	21
315	19
316	13
317	22
318	20
319	25
320	25
321	16
322	25
323	19
324	22
325	21
326	19
327	18
328	19
329	18
330	15
331	15
332	22
333	20
334	17
335	10
336	18
337	21
338	14
339	16
340	23
341	15
342	13
343	20
344	20
345	11
346	24
347	20
348	29
349	16
350	20
351	22
352	23
353	12
354	18
355	17
356	18
357	16
358	15
359	17
360	24
361	15
362	15
363	10
364	22
365	16
366	15
367	11
368	13
369	15
370	26
371	22
372	21
373	18
374	16
375	11
376	19
377	17
378	17
379	17
380	15
381	16
382	7
383	16
384	20
385	10
386	23
387	14
388	20
389	14
390	12
391	9
392	14
393	16
394	22
395	20
396	19
397	16
398	14
399	17
400	23
401	24
402	25
403	21
404	22
405	31
406	31
407	35
408	37
409	36
410	49
411	43
412	53
413	50
414	52
415	48
416	66
417	59
418	63
419	71
420	68
421	78
422	74
423	81
424	64
425	65
426	61
427	80
428	64
429	60
430	56
431	61
432	54
433	54
434	40
435	40
436	54
437	32
438	34
439	35
440	24
441	14
442	23
443	20
444	15
445	11
446	14
447	8
448	7
449	7
450	6
451	4
452	3
453	0
454	9
455	6
456	4
457	2
458	4
459	2
460	1
461	6
462	3
463	5
464	0
465	3
466	4
467	1
468	5
469	2
470	2
471	4
472	3
473	3
474	7
475	3
476	3
477	6
478	4
479	2
480	8
481	5
482	2
483	0
484	3
485	2
486	5
487	1
488	4
489	7
490	3
491	0
492	4
493	5
494	2
495	5
496	2
497	0
498	1
499	3
500	2
501	3
502	1
503	2
504	4
505	2
506	2
507	4
508	1
509	4
510	1
511	58
