K	N
0	0
1	0
2	0
3	
4	3
5	7
6	12
7	12
8	6
9	10
10	13
11	13
12	9
13	6
14	10
15	12
16	9
17	15
18	11
19	13
20	16
21	10
22	15
23	13
24	19
25	14
26	12
27	12
28	13
29	22
30	12
31	16
32	22
33	21
34	19
35	18
36	18
37	14
38	18
39	38
40	21
41	18
42	27
43	18
44	27
45	24
46	16
47	22
48	27
49	29
50	24
51	37
52	35
53	44
54	65
55	67
56	63
57	69
58	60
59	56
60	49
61	52
62	40
63	41
64	43
65	45
66	41
67	39
68	27
69	31
70	30
71	34
72	19
73	25
74	33
75	31
76	29
77	24
78	30
79	24
80	35
81	29
82	34
83	21
84	37
85	21
86	30
87	22
88	27
89	23
90	16
91	31
92	23
93	31
94	21
95	15
96	34
97	14
98	26
99	25
100	24
101	28
102	33
103	20
104	26
105	17
106	17
107	22
108	25
109	14
110	22
111	23
112	23
113	23
114	22
115	21
116	25
117	18
118	14
119	20
120	17
121	25
122	17
123	17
124	19
125	11
126	16
127	17
128	17
129	18
130	16
131	27
132	19
133	17
134	18
135	19
136	12
137	16
138	14
139	15
140	18
141	12
142	15
143	14
144	16
145	16
146	10
147	22
148	13
149	6
150	9
151	14
152	13
153	15
154	11
155	17
156	12
157	17
158	9
159	18
160	12
161	10
162	13
163	11
164	17
165	10
166	16
167	13
168	5
169	13
170	9
171	16
172	10
173	3
174	12
175	10
176	10
177	7
178	15
179	9
180	20
181	13
182	11
183	13
184	13
185	12
186	16
187	6
188	10
189	19
190	5
191	8
192	8
193	9
194	8
195	8
196	18
197	10
198	10
199	10
200	8
201	13
202	13
203	9
204	2
205	7
206	12
207	9
208	10
209	12
210	7
211	7
212	5
213	4
214	8
215	10
216	5
217	6
218	6
219	14
220	12
221	7
222	11
223	13
224	9
225	10
226	14
227	5
228	12
229	12
230	8
231	7
232	7
233	8
234	4
235	8
236	5
237	2
238	4
239	4
240	4
241	10
242	11
243	3
244	6
245	6
246	6
247	6
248	5
249	7
250	6
251	8
252	12
253	4
254	5
255	12
256	6
257	4
258	4
259	7
260	5
261	7
262	8
263	1
264	5
265	4
266	2
267	6
268	7
269	7
270	2
271	8
272	8
273	3
274	9
275	4
276	7
277	2
278	11
279	4
280	6
281	5
282	2
283	5
284	6
285	8
286	2
287	6
288	5
289	7
290	2
291	5
292	5
293	5
294	5
295	6
296	6
297	4
298	6
299	3
300	5
301	5
302	3
303	6
304	4
305	5
306	5
307	9
308	3
309	4
310	8
311	8
312	5
313	4
314	9
315	6
316	5
317	5
318	6
319	5
320	7
321	4
322	4
323	9
324	8
325	8
326	6
327	7
328	2
329	4
330	7
331	2
332	1
333	4
334	5
335	4
336	5
337	6
338	5
339	1
340	5
341	6
342	4
343	5
344	3
345	7
346	11
347	4
348	7
349	4
350	4
351	2
352	6
353	3
354	2
355	5
356	9
357	5
358	6
359	3
360	7
361	3
362	5
363	4
364	5
365	6
366	5
367	5
368	3
369	1
370	3
371	2
372	6
373	5
374	2
375	4
376	7
377	4
378	6
379	5
380	1
381	8
382	4
383	5
384	4
385	7
386	2
387	3
388	6
389	5
390	4
391	0
392	4
393	6
394	4
395	6
396	2
397	5
398	2
399	3
400	3
401	8
402	4
403	4
404	6
405	4
406	2
407	2
408	5
409	4
410	0
411	6
412	4
413	2
414	3
415	5
416	2
417	3
418	2
419	7
420	1
421	3
422	4
423	1
424	5
425	4
426	4
427	5
428	0
429	4
430	5
431	2
432	1
433	3
434	1
435	7
436	2
437	4
438	3
439	2
440	2
441	1
442	0
443	4
444	3
445	4
446	2
447	5
448	3
449	4
450	2
451	4
452	1
453	8
454	1
455	4
456	5
457	1
458	3
459	5
460	6
461	2
462	7
463	1
464	2
465	4
466	4
467	6
468	1
469	6
470	3
471	6
472	3
473	3
474	3
475	5
476	1
477	4
478	2
479	4
480	1
481	2
482	1
483	5
484	2
485	3
486	1
487	1
488	4
489	3
490	1
491	3
492	1
493	1
494	1
495	1
496	2
497	2
498	2
499	3
500	3
501	5
502	3
503	4
504	3
505	2
506	5
507	1
508	2
509	2
510	1
511	60
